"X","Variety","Centre","SNPsubsp","K9.group","country","region","readepth","Filtered.insertions","Culm.diameter...1st.internode","culm.strength","flag.leaf.angle","grain.length","grain.width","leaf.length","leaf.senescence","Grain.weight","Salt.injury.at.EC12","Time.to.flowering..from.sowing","panicle.threshability"
208,"IRIS 313-11064","IRIS","AUS","cA","Bangladesh","SAS",26.7,18101,1,2,5,7.8,3,2,1,2.1,1,4.12713438504509,1
209,"IRIS 313-11066","IRIS","ARO","admix","Bangladesh","SAS",23.45,18118,1,2,5,7.3,3.4,3,1,2.5,1,4.12713438504509,1
210,"IRIS 313-11079","IRIS","IND","XI-3","Laos","SEA",21.09,17669,1,2,5,9.7,3.1,3,1,3,1,4.71849887129509,2
211,"IRIS 313-11081","IRIS","IND","XI-3","Laos","SEA",17.28,18249,2,2,5,10.4,3.7,4,1,3.7,1,4.77912349311153,2
212,"IRIS 313-11083","IRIS","IND","XI-3","Laos","SEA",31.22,18792,2,2,5,8.4,3.5,4,2,2.8,1,4.77912349311153,2
213,"IRIS 313-11085","IRIS","IND","XI-adm","Laos","SEA",28.42,17860,2,2,5,9.8,3.5,3,1,2.2,1,4.23410650459726,2
214,"IRIS 313-11089","IRIS","IND","XI-3","Cambodia","SEA",30.77,18203,1,2,1,9.7,3,3,1,1.8,2,4.44265125649032,2
215,"IRIS 313-11094","IRIS","JAP","GJ-sbtrp","Laos","SEA",24.35,19478,2,2,7,11.1,4.1,3,1,3.6,1,4.43081679884331,2
216,"IRIS 313-11095","IRIS","IND","XI-3","Laos","SEA",24.24,17034,2,2,5,8.5,3.6,4,1,3.1,1,4.65396035015752,2
217,"IRIS 313-11097","IRIS","IND","XI-adm","Philippines","SEA",31.11,17817,2,2,5,7.4,3.3,3,1,1.7,2,4.44265125649032,2
218,"IRIS 313-11098","IRIS","IND","XI-3","Sierra_Leone","AFR",41.1,17683,1,1,5,9.2,3,3,1,1.6,NA,4.78749174278205,1
219,"IRIS 313-11102","IRIS","JAP","GJ-trp","Liberia","AFR",33.5,19335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,"IRIS 313-11103","IRIS","JAP","GJ-trp","Liberia","AFR",28.21,18700,2,2,5,9.8,3.6,3,1,3.2,2,4.44265125649032,1
221,"IRIS 313-11104","IRIS","JAP","GJ-trp","Liberia","AFR",22.74,18779,1,2,5,9.3,3.4,3,1,2.8,2,4.44265125649032,1
222,"IRIS 313-11112","IRIS","AUS","cA","Bangladesh","SAS",26.53,17612,2,2,1,9,3.6,3,1,2.8,2,4.44265125649032,2
223,"IRIS 313-11113","IRIS","IND","XI-2","Bangladesh","SAS",28.16,18137,2,2,5,9.3,3.4,4,1,2.8,1,4.63472898822964,1
224,"IRIS 313-11118","IRIS","IND","XI-3","Vietnam","SEA",27.98,18332,2,1,5,8,3,3,1,1.7,NA,5.13579843705026,2
225,"IRIS 313-11129","IRIS","IND","XI-adm","Myanmar","SEA",19.51,13996,1,2,1,8.2,2.9,3,1,2.1,2,4.64439089914137,1
226,"IRIS 313-11151","IRIS","IND","XI-3","Myanmar","SEA",27.1,17761,2,2,1,8.7,3,4,1,2.6,NA,4.58496747867057,1
227,"IRIS 313-11160","IRIS","IND","XI-3","Liberia","AFR",16.47,13987,1,1,5,9.9,2.8,3,1,2.2,2,4.58496747867057,1
228,"IRIS 313-11189","IRIS","ARO","admix","Soviet_Union","EUR",19.27,19068,2,2,3,9.8,3.6,3,1,2.8,1,4.20469261939097,1
229,"IRIS 313-11191","IRIS","AUS","cA","Sri_Lanka","SAS",28.57,17768,2,2,3,6.3,2.8,3,1,1.4,1,4.34380542185368,2
230,"IRIS 313-11194","IRIS","IND","XI-3","Thailand","SEA",15.1,18857,2,2,5,10.4,3.1,4,1,2.5,NA,4.95582705760126,2
231,"IRIS 313-11202","IRIS","JAP","GJ-tmp","China","EAS",24.17,19266,1,1,3,8,3.7,2,1,2.9,1,4.38202663467388,1
232,"IRIS 313-11205","IRIS","IND","XI-2","Bangladesh","SAS",26.49,17515,2,2,3,8.9,3.2,4,2,3,1,4.98360662170834,1
233,"IRIS 313-11221","IRIS","IND","XI-2","Bangladesh","SAS",15.44,19222,2,1,5,9.3,2.8,4,1,2.7,2,4.7361984483945,2
234,"IRIS 313-11224","IRIS","IND","XI-2","Bangladesh","SAS",20.28,18667,2,2,5,10.1,2.6,4,2,2.2,1,4.85203026391962,2
235,"IRIS 313-11226","IRIS","IND","XI-2","Bangladesh","SAS",16.09,12402,2,2,3,9.4,3,4,1,2.4,1,4.86753445045558,1
236,"IRIS 313-11228","IRIS","IND","XI-2","Bangladesh","SAS",17.16,18616,2,2,5,9.7,2.9,3,1,2.5,2,4.85203026391962,2
237,"IRIS 313-11229","IRIS","IND","XI-2","Bangladesh","SAS",24.96,19210,1,1,1,8.8,3.1,4,1,2.4,1,4.70048036579242,2
238,"IRIS 313-11231","IRIS","IND","XI-2","Bangladesh","SAS",15.07,18783,2,2,5,9.4,3.2,4,1,2.6,NA,4.85203026391962,2
239,"IRIS 313-11234","IRIS","IND","XI-adm","Philippines","SEA",30.49,18089,2,1,5,10.4,2.9,3,1,2.3,1,4.57471097850338,1
240,"IRIS 313-11238","IRIS","JAP","GJ-trp","Brazil","AME",21.73,18078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,"IRIS 313-11239","IRIS","IND","XI-adm","Indonesia","SEA",31.89,17618,1,1,5,10.3,2.9,3,1,2.5,1,4.54329478227,2
242,"IRIS 313-11240","IRIS","IND","XI-adm","India","SAS",22.04,15142,1,1,1,9,2.9,2,1,2.2,1,4.40671924726425,2
243,"IRIS 313-11241","IRIS","IND","XI-2","Bangladesh","SAS",31.07,17573,2,2,3,8.4,2.7,4,1,1.7,2,4.81218435537242,2
244,"IRIS 313-11242","IRIS","IND","XI-2","India","SAS",32.2,17185,1,1,3,8.6,2.8,4,1,1.9,2,4.78749174278205,1
245,"IRIS 313-11244","IRIS","IND","XI-adm","India","SAS",27.77,17789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"IRIS 313-11245","IRIS","IND","XI-adm","India","SAS",27.75,17729,1,1,1,9.2,2.7,3,2,1.9,1,4.35670882668959,2
247,"IRIS 313-11247","IRIS","IND","XI-adm","India","SAS",27.87,18240,1,1,1,9.3,3,3,2,2.5,1,4.24849524204936,1
248,"IRIS 313-11249","IRIS","IND","XI-adm","Philippines","SEA",16.22,17886,1,1,1,9.7,2.6,3,2,2.4,1,4.66343909411207,2
249,"IRIS 313-11251","IRIS","IND","XI-1B","Philippines","SEA",26.82,17568,1,1,1,8.4,3.1,3,2,2.5,2,4.66343909411207,2
250,"IRIS 313-11252","IRIS","IND","XI-adm","India","SAS",20.29,18789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,"IRIS 313-11253","IRIS","IND","XI-adm","Surinam","AME",25.02,17937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,"IRIS 313-11256","IRIS","IND","XI-adm","India","SAS",24.78,17369,2,1,5,8.8,2.9,3,2,3,1,4.7361984483945,1
253,"IRIS 313-11257","IRIS","ADM","XI-adm","India","SAS",33.01,17214,2,1,5,9,3,4,1,2.9,1,4.66343909411207,2
254,"IRIS 313-11258","IRIS","ARO","cB","India","SAS",30.1,18118,NA,2,5,5.5,2.3,NA,2,1,2,4.67282883446191,1
255,"IRIS 313-11260","IRIS","IND","XI-adm","India","SAS",32,16718,1,2,5,8.7,2.9,3,2,2.3,1,4.52178857704904,1
256,"IRIS 313-11262","IRIS","IND","XI-adm","India","SAS",19.87,16586,1,1,3,7.8,3.4,3,1,2.2,1,4.69134788222914,1
257,"IRIS 313-11263","IRIS","ADM","XI-adm","India","SAS",29.37,17312,2,1,5,8.4,3.4,4,1,2.9,1,4.78749174278205,1
258,"IRIS 313-11264","IRIS","IND","XI-adm","India","SAS",18.85,16887,1,1,3,9.4,2.5,3,1,2.1,2,4.68213122712422,2
259,"IRIS 313-11265","IRIS","AUS","cA","India","SAS",24.7,17558,1,1,5,7.2,3.4,3,2,2.1,2,4.4188406077966,1
