Variety,Group,Status,Country,Culm.diameter...1st.internode,culm.strength,flag.leaf.angle,grain.length,grain.width,leaf.length,leaf.senescence,Grain.weight,Salt.injury.at.EC12,Time.to.flowering..from.sowing,panicle.threshability
IRIS 313-11189,ARO,NA,Soviet_Union,2,2,3,9.8,3.6,3,1,2.8,1,4.204692619,1
IRIS 313-11191,AUS,T,Sri_Lanka,2,2,3,6.3,2.8,3,1,1.4,1,4.343805422,2
IRIS 313-11194,IND,NA,Thailand,2,2,5,10.4,3.1,4,1,2.5,NA,4.955827058,2
IRIS 313-11202,JAP,I,China,1,1,3,8,3.7,2,1,2.9,1,4.382026635,1
IRIS 313-11205,IND,T,Bangladesh,2,2,3,8.9,3.2,4,2,3,1,4.983606622,1
IRIS 313-11221,IND,P,Bangladesh,2,1,5,9.3,2.8,4,1,2.7,2,4.736198448,2
IRIS 313-11224,IND,P,Bangladesh,2,2,5,10.1,2.6,4,2,2.2,1,4.852030264,2
IRIS 313-11226,IND,P,Bangladesh,2,2,3,9.4,3,4,1,2.4,1,4.86753445,1
IRIS 313-11228,IND,P,Bangladesh,2,2,5,9.7,2.9,3,1,2.5,2,4.852030264,2
IRIS 313-11229,IND,P,Bangladesh,1,1,1,8.8,3.1,4,1,2.4,1,4.700480366,2
IRIS 313-11231,IND,P,Bangladesh,2,2,5,9.4,3.2,4,1,2.6,NA,4.852030264,2
IRIS 313-11234,IND,T,Philippines,2,1,5,10.4,2.9,3,1,2.3,1,4.574710979,1
IRIS 313-11238,JAP,NA,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11239,IND,I,Indonesia,1,1,5,10.3,2.9,3,1,2.5,1,4.543294782,2
IRIS 313-11240,IND,I,India,1,1,1,9,2.9,2,1,2.2,1,4.406719247,2
IRIS 313-11241,IND,I,Bangladesh,2,2,3,8.4,2.7,4,1,1.7,2,4.812184355,2
IRIS 313-11242,IND,I,India,1,1,3,8.6,2.8,4,1,1.9,2,4.787491743,1
IRIS 313-11244,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11245,IND,P,India,1,1,1,9.2,2.7,3,2,1.9,1,4.356708827,2
IRIS 313-11247,IND,I,India,1,1,1,9.3,3,3,2,2.5,1,4.248495242,1
IRIS 313-11249,IND,I,Philippines,1,1,1,9.7,2.6,3,2,2.4,1,4.663439094,2
IRIS 313-11251,IND,I,Philippines,1,1,1,8.4,3.1,3,2,2.5,2,4.663439094,2
IRIS 313-11252,IND,NA,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11253,IND,I,Surinam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IRIS 313-11256,IND,NA,India,2,1,5,8.8,2.9,3,2,3,1,4.736198448,1
IRIS 313-11257,ADM,NA,India,2,1,5,9,3,4,1,2.9,1,4.663439094,2
IRIS 313-11258,ARO,NA,India,NA,2,5,5.5,2.3,NA,2,1,2,4.672828834,1
IRIS 313-11260,IND,NA,India,1,2,5,8.7,2.9,3,2,2.3,1,4.521788577,1
IRIS 313-11262,IND,NA,India,1,1,3,7.8,3.4,3,1,2.2,1,4.691347882,1
